Index,Type,Weight,Price
1,Fish,6.396857888636801,3.5
2,Scallop,6.4037680679372935,2.0
3,Fish,3.635369323669411,3.5
4,Scallop,5.277748496834061,2.0
5,Shrimp,2.2976557619216944,1.5
6,Shrimp,6.442388336451636,1.5
7,Scallop,2.9814819837897555,2.0
8,Crab,4.777655266011443,4.5
9,Crab,4.464283981776352,4.5
10,Crab,0.7815073263898505,4.5
11,Crab,2.4474689478227796,4.5
12,Crab,2.259370174468092,4.5
13,Shrimp,5.820817197777589,1.5
14,Fish,1.8567166022247976,3.5
15,Scallop,5.098497464287517,2.0
16,Crab,6.455429827232742,4.5
17,Fish,2.725143054267807,3.5
18,Shrimp,5.684029902841617,1.5
19,Scallop,1.256423732343535,2.0
20,Crab,0.9552076509732202,4.5
21,Fish,3.86324445358564,3.5
22,Scallop,2.8819877594053174,2.0
23,Scallop,4.750555842615447,2.0
24,Fish,4.055736880911267,3.5
25,Fish,3.724705049521969,3.5
26,Fish,0.5162291951274329,3.5
27,Scallop,0.5034274415299553,2.0
28,Fish,5.029228361238099,3.5
29,Shrimp,4.664573463508112,1.5
30,Fish,1.4636251281144441,3.5
31,Crab,0.5164927824662405,4.5
32,Crab,4.619055257554041,4.5
33,Fish,6.915714738323647,3.5
34,Fish,6.381388649850637,3.5
35,Scallop,3.323554104516795,2.0
36,Scallop,1.7222319151351257,2.0
37,Crab,2.6085001171219777,4.5
38,Crab,3.1878570864812037,4.5
39,Scallop,1.9607962678342,2.0
40,Crab,1.4126570131900138,4.5
41,Shrimp,2.118579776638935,1.5
42,Fish,6.620502068247252,3.5
43,Shrimp,6.023974624434347,1.5
44,Fish,0.1244371076403541,3.5
45,Fish,0.5330703203961801,3.5
46,Crab,0.4774604059800497,4.5
47,Fish,1.658689356484721,3.5
48,Crab,1.534549961601936,4.5
49,Fish,5.913969968036899,3.5
50,Scallop,3.080049069202537,2.0
51,Shrimp,3.24851479239953,1.5
52,Fish,1.9658123942585264,3.5
53,Shrimp,6.892737953511514,1.5
54,Scallop,3.3256789326889984,2.0
55,Shrimp,1.8471092971721514,1.5
56,Scallop,4.341050922884773,2.0
57,Shrimp,3.479958220574322,1.5
58,Shrimp,0.4352192688283618,1.5
59,Shrimp,3.327459461769453,1.5
