Index,Type,Weight,Price
1,Scallop,0.8444686976602277,2.0
2,Fish,4.924777468250751,3.5
3,Fish,6.249646555109331,3.5
4,Fish,2.645377075804903,3.5
5,Fish,3.725814275876928,3.5
6,Fish,2.3935229778738165,3.5
7,Scallop,1.8362503363803961,2.0
8,Scallop,5.8574595177030435,2.0
9,Scallop,1.3417446059627796,2.0
10,Fish,1.975592848082891,3.5
11,Fish,1.385233267082671,3.5
12,Crab,1.0547891785645218,4.5
13,Shrimp,1.446908962132972,1.5
14,Shrimp,1.3174951894061395,1.5
15,Fish,6.5230889233228115,3.5
16,Shrimp,3.290908714926545,1.5
17,Fish,6.2428174776112035,3.5
18,Shrimp,0.06625015019419445,1.5
19,Fish,5.944124433834756,3.5
20,Fish,2.4305786983700757,3.5
21,Fish,3.8241208013409254,3.5
22,Crab,4.760013063967614,4.5
23,Shrimp,6.869277763963607,1.5
24,Crab,0.9187600022262267,4.5
25,Crab,5.528433016193651,4.5
26,Crab,0.0886568003860253,4.5
27,Crab,4.950450826953335,4.5
28,Fish,5.498105509390717,3.5
29,Fish,4.86354154848116,3.5
30,Scallop,5.438916617934612,2.0
31,Shrimp,0.5433382664860963,1.5
32,Fish,1.6374634239786219,3.5
33,Shrimp,1.5785206529992855,1.5
34,Shrimp,6.708977979241837,1.5
35,Fish,3.4050488099666327,3.5
36,Crab,6.440898976610898,4.5
37,Fish,6.131243466481026,3.5
38,Fish,6.343591032140242,3.5
39,Fish,1.7934754153006287,3.5
40,Fish,0.29690967194237583,3.5
41,Fish,3.9804808718129214,3.5
42,Shrimp,2.395372106472026,1.5
43,Scallop,4.820699469414584,2.0
44,Fish,2.9711764836748675,3.5
45,Shrimp,5.39378532230298,1.5
46,Fish,3.214524220410194,3.5
47,Scallop,0.061462361687693035,2.0
48,Fish,2.7290986682904874,3.5
49,Crab,4.518049164891485,4.5
50,Crab,6.75303367764698,4.5
51,Shrimp,1.626123337422067,1.5
52,Fish,3.8568151893485667,3.5
53,Fish,5.044479272425159,3.5
54,Fish,5.700674149713784,3.5
55,Fish,1.1968808656344407,3.5
56,Scallop,6.441042898025471,2.0
57,Fish,4.13579963286537,3.5
58,Shrimp,4.39752612733979,1.5
59,Scallop,2.511370223848436,2.0
