X,Y
-250,-250
-245,-245
-240,-240
-235,-235
-230,-230
-225,-225
-220,-220
-215,-215
-210,-210
-205,-205
-200,-200
-195,-195
-190,-190
-185,-185
-180,-180
-175,-175
-170,-170
-165,-165
-160,-160
-155,-155
-150,-150
-145,-145
-140,-140
-135,-135
-130,-130
-125,-125
-120,-120
-115,-115
-110,-110
-105,-105
-100,-100
-95,-95
-90,-90
-85,-85
-80,-80
-75,-75
-70,-70
-65,-65
-60,-60
-55,-55
-50,-50
-45,-45
-40,-40
-35,-35
-30,-30
-25,-25
-20,-20
-15,-15
-10,-10
-5,-5
0,0
5,5
10,10
15,15
20,20
25,25
30,30
35,35
40,40
45,45
50,50
55,55
60,60
65,65
70,70
75,75
80,80
85,85
90,90
95,95
100,100
105,105
110,110
115,115
120,120
125,125
130,130
135,135
140,140
145,145
150,150
155,155
160,160
165,165
170,170
175,175
180,180
185,185
190,190
195,195
200,200
205,205
210,210
215,215
220,220
225,225
230,230
235,235
240,240
245,245
250,250
