X,Y
-250,-253
-245,-244
-240,-250
-235,-241
-230,-235
-225,-232
-220,-230
-215,-221
-210,-207
-205,-200
-200,-195
-195,-201
-190,-199
-185,-193
-180,-186
-175,-175
-170,-165
-165,-159
-160,-160
-155,-148
-150,-141
-145,-153
-140,-138
-135,-133
-130,-136
-125,-119
-120,-126
-115,-110
-110,-118
-105,-105
-100,-100
-95,-102
-90,-90
-85,-80
-80,-87
-75,-68
-70,-74
-65,-70
-60,-50
-55,-53
-50,-49
-45,-37
-40,-30
-35,-37
-30,-24
-25,-28
-20,-20
-15,-18
-10,-9
-5,-13
0,-9
5,1
10,8
15,18
20,27
25,21
30,34
35,30
40,31
45,46
50,40
55,54
60,68
65,65
70,79
75,70
80,80
85,78
90,86
95,101
100,96
105,105
110,118
115,122
120,121
125,125
130,131
135,130
140,130
145,151
150,143
155,145
160,160
165,162
170,160
175,175
180,171
185,175
190,183
195,192
200,210
205,208
210,220
215,214
220,211
225,227
230,231
235,234
240,241
245,248
250,242
