X,Y
-250.0,-253.0
-245.0,-249.0
-240.0,-244.6,
-235.0,-240.4,
-230.0,-237.6,
-225.0,-231.8,
-220.0,-225.0,
-215.0,-218.0,
-210.0,-210.6,
-205.0,-204.8,
-200.0,-200.4,
-195.0,-197.6,
-190.0,-194.8,
-185.0,-190.8,
-180.0,-183.6,
-175.0,-175.6,
-170.0,-169.0,
-165.0,-161.4,
-160.0,-154.6,
-155.0,-152.2,
-150.0,-148.0,
-145.0,-142.6,
-140.0,-140.2,
-135.0,-135.8,
-130.0,-130.4,
-125.0,-124.8,
-120.0,-121.8,
-115.0,-115.6,
-110.0,-111.8,
-105.0,-107.0,
-100.0,-103.0,
-95.0,-95.4,
-90.0,-91.8,
-85.0,-85.4,
-80.0,-79.8,
-75.0,-75.8,
-70.0,-69.8,
-65.0,-63.0,
-60.0,-59.2,
-55.0,-51.8,
-50.0,-43.8,
-45.0,-41.2,
-40.0,-35.4,
-35.0,-31.2,
-30.0,-27.8,
-25.0,-25.4,
-20.0,-19.8,
-15.0,-17.6,
-10.0,-13.8,
-5.0,-9.6,
0.0,-4.4,
5.0,1.0,
10.0,9.0,
15.0,15.0,
20.0,21.6,
25.0,26.0,
30.0,28.6,
35.0,32.4,
40.0,36.2,
45.0,40.2,
50.0,47.8,
55.0,54.6,
60.0,61.2,
65.0,67.2,
70.0,72.4,
75.0,74.4,
80.0,78.6,
85.0,83.0,
90.0,88.2,
95.0,93.2,
100.0,101.2,
105.0,108.4,
110.0,112.4,
115.0,118.2,
120.0,123.4,
125.0,125.8,
130.0,127.4,
135.0,133.4,
140.0,137.0,
145.0,139.8,
150.0,145.8,
155.0,152.2,
160.0,154.0,
165.0,160.4,
170.0,165.6,
175.0,168.6,
180.0,172.8,
185.0,179.2,
190.0,186.2,
195.0,193.6,
200.0,202.6,
205.0,208.8,
210.0,212.6,
215.0,216.0,
220.0,220.6,
225.0,223.4,
230.0,228.8,
235.0,236.2,
240.0,239.2,
245.0,243.66666666666666
250.0,242.0
